pair,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median
Cu-Sc,O,4,-0.1893309551099402,-0.0658855062009696,-0.13193407405774948,-0.1362599174600441
Cu-Ta,S,2,-0.1491203973828143,-0.0835141007098651,-0.1163172490463397,-0.1163172490463397
Cu-Ti,O,3,-0.436577353302924,-0.3956122437604805,-0.4205966464358743,-0.4296003422442184
Cu-Ti,S,5,-0.3193036842542144,-0.0746548354496839,-0.14340824115770773,-0.1167392609820659
Cu-V,O,9,-0.2212687401050554,-0.0578056112861124,-0.10516433221967884,-0.0854676178482357
Cu-Y,O,10,-0.2044839499599706,-0.0770715588731097,-0.13292373833972557,-0.13404744334997534
Cu-Y,S,1,-0.0932021970910662,-0.0932021970910662,-0.0932021970910662,-0.0932021970910662
Fe-Mn,O,29,-0.3220387144193556,-0.05626972657879,-0.14230224437597055,-0.1190012505234762
Fe-Nb,S,4,-0.1175487781213058,-0.071928549349794,-0.08942335816925595,-0.084108052602962
Fe-Ni,O,10,-0.2260108003808495,-0.0598682052381543,-0.16556866239503415,-0.17801552515424668
Fe-Ni,S,4,-0.3277943305434015,-0.103274765424068,-0.1755849295922957,-0.1356353112008567
Fe-Sc,O,3,-0.1084303764131949,-0.0831509388350328,-0.09408468985252127,-0.0906727543093361
Fe-Sc,S,1,-0.2008001756728555,-0.2008001756728555,-0.2008001756728555,-0.2008001756728555
Fe-Ta,S,2,-0.2011962944092066,-0.1048072177553554,-0.153001756082281,-0.153001756082281
Fe-Ti,O,37,-0.5027603407092435,-0.051627847770755,-0.137577879557803,-0.10914936246989
Fe-Ti,S,1,-0.0553530618622368,-0.0553530618622368,-0.0553530618622368,-0.0553530618622368
Fe-Y,O,8,-0.3939728826567863,-0.0569226395248298,-0.15125266891588862,-0.09775397901663549
Fe-Zn,O,26,-0.3062771089390109,-0.0760007671509077,-0.14580136903185156,-0.13361173447707636
Fe-Zr,O,1,-0.1684929698614413,-0.1684929698614413,-0.1684929698614413,-0.1684929698614413
Fe-Zr,S,1,-0.526448091126119,-0.526448091126119,-0.526448091126119,-0.526448091126119
Hf-Mn,O,1,-0.0395516863150679,-0.0395516863150679,-0.0395516863150679,-0.0395516863150679
Hf-Mo,O,1,-0.4300564492163088,-0.4300564492163088,-0.4300564492163088,-0.4300564492163088
Hf-Mo,S,2,-0.4326762686599343,-0.4154520314460397,-0.42406415005298703,-0.42406415005298703
Hf-Ni,O,1,-0.043046515890706,-0.043046515890706,-0.043046515890706,-0.043046515890706
Hf-Re,O,1,-0.3573132958079261,-0.3573132958079261,-0.3573132958079261,-0.3573132958079261
Hf-Re,S,2,-0.645394856917348,-0.3443619697908929,-0.4948784133541204,-0.4948784133541204
Hf-Sc,O,3,-0.4066038791663773,-0.1518623240633223,-0.2666985178105457,-0.2416293502019375
Hf-Ti,O,1,-0.0664943000051836,-0.0664943000051836,-0.0664943000051836,-0.0664943000051836
Hf-W,O,1,-0.337457877800983,-0.337457877800983,-0.337457877800983,-0.337457877800983
Hf-W,S,1,-0.3212614097832338,-0.3212614097832338,-0.3212614097832338,-0.3212614097832338
Ir-Nb,S,4,-0.1682599068354935,-0.0880957604013328,-0.13792377238654668,-0.1476697111546802
Mn-Nb,O,6,-0.2269212626693078,-0.0859911508599634,-0.1371470145540204,-0.1134013054618888
Mn-Nb,S,4,-0.1017802464092388,-0.0746660644097606,-0.09259495856418468,-0.09696676171886964
Mn-Ni,O,17,-0.6350591431579155,-0.0586145804506959,-0.14919127432248583,-0.0821212191147503
Mn-Re,O,2,-0.0958190430287106,-0.095633606204272,-0.0957263246164913,-0.0957263246164913
Mn-Rh,O,1,-0.0627381822714853,-0.0627381822714853,-0.0627381822714853,-0.0627381822714853
Mn-Sc,O,4,-0.1483679511849748,-0.1016090013573933,-0.12352413452506039,-0.12205979277893675
Mn-Sc,S,1,-0.168303353611398,-0.168303353611398,-0.168303353611398,-0.168303353611398
Mn-Ta,O,6,-0.2613191249512975,-0.0869445304262842,-0.1522264248567615,-0.11723072716541805
Mn-Tc,O,1,-0.0819297982643207,-0.0819297982643207,-0.0819297982643207,-0.0819297982643207
Mn-Ti,O,16,-0.5482996504240987,-0.0658669586486653,-0.16713891134428716,-0.09725056324337694
Mn-W,O,1,-0.0706536730513467,-0.0706536730513467,-0.0706536730513467,-0.0706536730513467
Mn-Y,O,10,-0.2812557716728497,-0.0640226300470144,-0.13611379671984647,-0.1285136058811757
Mn-Y,S,2,-0.157988287709734,-0.1059990158988083,-0.13199365180427114,-0.13199365180427114
Mn-Zn,O,26,-0.1972240113583782,-0.0599287726618236,-0.11328907662018542,-0.117615435568399
Mn-Zr,O,1,-0.1760414275559718,-0.1760414275559718,-0.1760414275559718,-0.1760414275559718
Nb-Ni,O,3,-0.6736869076334131,-0.14002392482738,-0.3640771999197443,-0.2785207672984398
Nb-Ni,S,4,-0.1340037573400173,-0.0832675450008933,-0.10782791266151273,-0.10702017415257015
Nb-Pt,O,1,-0.1823870029823268,-0.1823870029823268,-0.1823870029823268,-0.1823870029823268
Nb-Re,O,1,-0.1528978350759064,-0.1528978350759064,-0.1528978350759064,-0.1528978350759064
Nb-Sc,O,4,-0.3531069211261067,-0.0827903570855752,-0.17820564219079554,-0.13846264527575014
Nb-Ti,O,11,-0.1565836141755127,-0.0561233839544401,-0.09301856315842842,-0.0858401649372925
Nb-Ti,S,2,-0.100462310064405,-0.0857478063619168,-0.0931050582131609,-0.0931050582131609
Ni-Rh,O,2,-0.0650446448597352,-0.0616522952404295,-0.06334847005008234,-0.06334847005008234
Ni-Ta,S,2,-0.1189190426495346,-0.0645151223647807,-0.09171708250715765,-0.09171708250715765
Ni-Ti,O,8,-0.5654934752935433,-0.080947919807489,-0.2888801166150755,-0.17234770984278325
Ni-Ti,S,1,-0.0624949924181406,-0.0624949924181406,-0.0624949924181406,-0.0624949924181406
Ni-Y,O,6,-0.2354999762185596,-0.0835498274442032,-0.13274433736223154,-0.1259308139345206
Ni-Zn,O,35,-0.2214194399903743,-0.0580499405342148,-0.10832781243978196,-0.0828277230668876
Ni-Zr,O,4,-0.5248567787815661,-0.0758376278289203,-0.23594821396428844,-0.17154922462333366
Pd-Rh,S,1,-0.2462083250272021,-0.2462083250272021,-0.2462083250272021,-0.2462083250272021
Pd-Ta,S,1,-0.1334791436342681,-0.1334791436342681,-0.1334791436342681,-0.1334791436342681
Pd-Ti,O,1,-0.2176919121650476,-0.2176919121650476,-0.2176919121650476,-0.2176919121650476
Re-Sc,O,1,-0.0828528051499394,-0.0828528051499394,-0.0828528051499394,-0.0828528051499394
Rh-Sc,O,2,-0.1775776729703876,-0.1046654221706847,-0.14112154757053613,-0.14112154757053613
Sc-Ta,O,1,-0.0878286119594319,-0.0878286119594319,-0.0878286119594319,-0.0878286119594319
Sc-Ti,O,6,-0.4047621105822354,-0.0585259696980869,-0.1606785199942579,-0.115909011159643
Sc-V,O,9,-0.2155931148796214,-0.0950337817835723,-0.14540410511758917,-0.1258340034693289
Sc-Y,O,3,-0.1839347690304086,-0.0574528091625825,-0.1263825092426817,-0.1377599495350541
Sc-Y,S,1,-0.070173648863559,-0.070173648863559,-0.070173648863559,-0.070173648863559
Sc-Zr,O,7,-0.7656138917983808,-0.1224190822048944,-0.28420598064057556,-0.1756803182702442
Ti-V,O,22,-0.2435766555233249,-0.0542922470262128,-0.08827648481123139,-0.07530424202893475
Ti-V,S,2,-0.0595447188123604,-0.0528381330580146,-0.0561914259351875,-0.0561914259351875
Ti-W,O,1,-0.0608393278510026,-0.0608393278510026,-0.0608393278510026,-0.0608393278510026
Ti-Y,O,15,-0.5275801206245934,-0.0606118817541705,-0.193425483499937,-0.1510836162594833
Ti-Y,S,1,-0.060156134020461,-0.060156134020461,-0.060156134020461,-0.060156134020461
Ti-Zn,O,20,-0.1987429886151509,-0.0618670870880153,-0.11982342797270071,-0.12162067189616925
Ti-Zn,S,1,-0.1661361134571742,-0.1661361134571742,-0.1661361134571742,-0.1661361134571742
Ti-Zr,O,7,-0.2675109238076715,-0.0724993694301322,-0.1351146110664593,-0.125948551330687
